phone,address,road_address,name,screen,region
1544-0070,서울특별시 광진구 자양동 870 판매시설,"서울특별시 광진구 아차산로 402, 3,4층 (자양동)",메가박스중앙(주) 구의이스트폴지점,DVA관,서울
1544-0070,서울특별시 광진구 자양동 870 판매시설,"서울특별시 광진구 아차산로 402, 3,4층 (자양동)",메가박스중앙(주) 구의이스트폴지점,2관,서울
1544-0070,서울특별시 광진구 자양동 870 판매시설,"서울특별시 광진구 아차산로 402, 3,4층 (자양동)",메가박스중앙(주) 구의이스트폴지점,LED 3관,서울
1544-0070,서울특별시 광진구 자양동 870 판매시설,"서울특별시 광진구 아차산로 402, 3,4층 (자양동)",메가박스중앙(주) 구의이스트폴지점,4관,서울
1544-0070,서울특별시 광진구 자양동 870 판매시설,"서울특별시 광진구 아차산로 402, 3,4층 (자양동)",메가박스중앙(주) 구의이스트폴지점,5관,서울
1544-0070,서울특별시 광진구 자양동 870 판매시설,"서울특별시 광진구 아차산로 402, 3,4층 (자양동)",메가박스중앙(주) 구의이스트폴지점,6관,서울
1544-0070,서울특별시 광진구 자양동 870 판매시설,"서울특별시 광진구 아차산로 402, 3,4층 (자양동)",메가박스중앙(주) 구의이스트폴지점,7관,서울
1544-0070,서울특별시 광진구 자양동 870 판매시설,"서울특별시 광진구 아차산로 402, 3,4층 (자양동)",메가박스중앙(주) 구의이스트폴지점,8관,서울
,경기도 화성시 오산동 979,"경기도 화성시 동탄오산로 29, 지하1층,지하2층 (오산동)",메가박스 동탄역점,1관,경기
,경기도 화성시 오산동 979,"경기도 화성시 동탄오산로 29, 지하1층,지하2층 (오산동)",메가박스 동탄역점,2관,경기
,경기도 화성시 오산동 979,"경기도 화성시 동탄오산로 29, 지하1층,지하2층 (오산동)",메가박스 동탄역점,3관,경기
,경기도 화성시 오산동 979,"경기도 화성시 동탄오산로 29, 지하1층,지하2층 (오산동)",메가박스 동탄역점,4관,경기
,경기도 화성시 오산동 979,"경기도 화성시 동탄오산로 29, 지하1층,지하2층 (오산동)",메가박스 동탄역점,5관,경기
,경기도 화성시 오산동 979,"경기도 화성시 동탄오산로 29, 지하1층,지하2층 (오산동)",메가박스 동탄역점,6관,경기
,경기도 화성시 오산동 979,"경기도 화성시 동탄오산로 29, 지하1층,지하2층 (오산동)",메가박스 동탄역점,7관,경기
